,Content ID,User ID,Type,Category,reaction,date,sentiment,score,Type,Sentiment,Score,,Column1,Column2
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,dislike,17-06-2021,negative,10,heart,positive,60,,adore,104475
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,scared,18-06-2021,negative,15,want,positive,70,,super love,102744
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,disgust,19-06-2021,negative,0,disgust,negative,0,,cherish,50330
3,356fff80-da4d-4785-9f43-bc1261031dc6,9fb4ce88-fac1-406c-8544-1a899cee7aaf,photo,technology,interested,20-06-2021,positive,30,hate,negative,5,,peeking,50330
4,01ab84dd-6364-4236-abbb-3f237db77180,e206e31b-5f85-4964-b6ea-d7ee5324def1,video,food,peeking,21-06-2021,neutral,35,interested,positive,30,,worried,7100
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,4607d7b0-3313-49b8-9f73-5b8227fc5b67,GIF,cooking,cherish,22-06-2021,positive,70,indifferent,neutral,20,,hate,96600
6,3f8590c7-6ab2-4973-805a-90cdec355f05,ae600af5-c1f0-4b1f-adb0-1b4c246373e4,video,dogs,hate,23-06-2021,negative,5,love,positive,65,,indifferent,7100
7,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,583f2bde-886d-4cf3-a5c4-7cb60cd25df3,video,technology,peeking,24-06-2021,neutral,35,super love,positive,75,,scared,7100
8,0bedca96-fb76-4287-a83c-17330ed39cce,2bd9c167-e06c-47c1-a978-3403d6724606,photo,soccer,indifferent,25-06-2021,neutral,20,cherish,positive,70,,love,69550
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,13f0db8a-152a-496f-a6e8-1ed6a90b8788,photo,public speaking,scared,26-06-2021,negative,15,adore,positive,72,,like,27700
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,ef56931b-540b-4166-9090-73ae48ac8d97,GIF,science,interested,27-06-2021,positive,30,like,positive,50,,intrigued,27700
11,46fb701d-6c26-458e-ada3-2ebe5dbba01f,4fe1900d-5e78-41a3-88ed-18e6889c6c77,audio,public speaking,hate,28-06-2021,negative,5,dislike,negative,10,,interested,50330
12,0be59876-d70c-486c-8e0b-a06bef7a2cd6,72d2587e-8fae-4626-a73d-352e6465ba0f,GIF,tennis,scared,29-06-2021,negative,15,intrigued,positive,45,,dislike,7100
13,81abd65a-3b76-4574-a0a7-db6bf7184ae2,4793cc6d-be60-42cc-bfd4-7ce8fd4d0eab,video,food,super love,30-06-2021,positive,75,peeking,neutral,35,,disgust,42750
14,e6ee2244-9382-49a9-8cbf-fa54aaaa2392,740a4abd-187d-4783-990b-161c52fb5f86,audio,travel,peeking,01-07-2021,neutral,35,scared,negative,15,,want,0
15,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,425b7021-0409-4358-af39-2bff14197d0a,GIF,fitness,indifferent,02-07-2021,neutral,20,worried,negative,12,,heart,42750
16,f332d362-dc48-46c2-a64b-641157c0987e,05782669-264e-4c14-990e-14c8dbb13bef,GIF,soccer,interested,03-07-2021,positive,30,,,,,sum of reactions,
17,a2e93b29-9259-4092-a4d7-62d5e823bb74,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,video,public speaking,peeking,04-07-2021,neutral,35,,,,,,
18,9b3a6d30-48e8-476c-82be-9031524bd04d,3d13e0d3-e765-4065-9221-3f864689b9e0,video,food,worried,05-07-2021,negative,12,,,,,,
19,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,a90c3ed2-7c64-47c3-9da5-b10d05f6f9f2,video,tennis,like,06-07-2021,positive,50,,,,,,
20,baa2db00-81ba-4c34-b17d-dd950bfa133b,2f112802-2501-45b5-a9d9-470cda6ef23e,GIF,soccer,heart,07-07-2021,positive,60,,,,,,
21,f98dde71-ce1d-4f6c-bb05-ae05779d2207,11f207c2-0113-47e5-aa9a-df2c7b91ac75,GIF,soccer,worried,08-07-2021,negative,12,,,,,,
22,388bd9db-9d10-4f47-87c4-6db46e83bc95,76cb4dbe-7748-49ab-8179-6e3f3b840dd6,video,education,hate,09-07-2021,negative,5,,,,,,
23,78d0075f-895c-4a15-a35c-a921e2bb2cea,34fcadd6-fa9b-4404-981a-c70c86cde556,photo,studying,hate,10-07-2021,negative,5,,,,,,
24,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,7719b807-bf22-4b36-8f69-44d9a87d239b,photo,travel,cherish,11-07-2021,positive,70,,,,,,
25,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,e2377b94-f06a-49ed-a266-377c4b07e980,GIF,food,super love,12-07-2021,positive,75,,,,,,
26,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,10f311c3-f547-4260-8c0e-a155008b7936,audio,dogs,scared,13-07-2021,negative,15,,,,,,
27,34a3747a-0b77-42f6-ae19-87c38b94b674,5b62e10e-3c19-4d28-a57c-e9bdc3d6758d,GIF,science,interested,14-07-2021,positive,30,,,,,,
28,2920dccb-e06f-49fc-8049-b6d4164dfe84,f8926cfa-7036-4929-b5db-925c26daea1a,GIF,veganism,indifferent,15-07-2021,neutral,20,,,,,,
29,f4e3840e-bb71-40c2-afc5-9408d842646d,d9aab962-e964-4afd-83ee-abda0865da67,photo,healthy eating,super love,16-07-2021,positive,75,,,,,,
30,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,f0ef81ec-85b1-4475-ae60-aa7d373088aa,video,food,disgust,17-07-2021,negative,0,,,,,,
31,74718bbf-e5a3-442f-8ca2-4a3428757fc1,e2377b94-f06a-49ed-a266-377c4b07e980,video,dogs,super love,18-07-2021,positive,75,,,,,,
32,89fd8f89-807f-4076-b7e7-84db361e11c1,0c347562-ce55-450b-91ab-0707662b36f5,audio,studying,interested,19-07-2021,positive,30,,,,,,
33,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,568e7c6f-b1e9-4a85-897c-aaaaa0ce8832,video,cooking,dislike,20-07-2021,negative,10,,,,,,
34,eec5e521-4c28-4e8a-93a9-d544803fad7e,cad2d54d-9555-4dfe-bfcd-7a584895a002,audio,food,scared,21-07-2021,negative,15,,,,,,
35,07f88a73-aef2-45fd-8b5d-418e448b853d,18c56602-937e-4ff3-bc6c-43f0b14212ca,GIF,Animals,want,22-07-2021,positive,70,,,,,,
36,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,3eb6dad3-c017-4e77-8920-fbdea84b0acc,photo,technology,interested,23-07-2021,positive,30,,,,,,
37,457301ee-3e87-40d8-8b82-ea4e1fa90e39,bec3a622-1373-49c2-9d57-e0281c34f5cf,GIF,healthy eating,indifferent,24-07-2021,neutral,20,,,,,,
38,4fa14453-7b29-4302-b51f-9aa23b472c1b,8c9c5ee7-9c8c-4842-bbd1-1d1e51da8164,audio,animals,worried,25-07-2021,negative,12,,,,,,
39,16757b80-2803-4464-b5d7-e372d8d77337,3e65775b-36e4-495d-9c45-28127fb3da5f,GIF,technology,hate,26-07-2021,negative,5,,,,,,
40,ab4c4756-1c50-4136-bad9-3216e01ffac2,bfe23c39-f814-4282-b0f7-506cd8295b8a,audio,fitness,dislike,27-07-2021,negative,10,,,,,,
